,Item Number,Monetary,Frequency,Recent_Date
1919,78592,32479.02,279,2019-02-28
1920,29109,2243.68,84,2017-04-27
1921,45277,3404208.48,32597,2020-09-30
1922,48106,18607316.5,56849,2020-09-30
1923,52580,351002.33,7381,2020-09-30
1924,27577,41667.23,618,2013-11-21
1925,35934,352490.16,3505,2020-09-28
1926,45278,6371098.32,77699,2020-09-30
1927,82836,153100.59,4236,2020-07-10
1928,68306,268246.18,5080,2020-09-28
1929,5246,132254.19,1335,2017-08-11
1930,40186,393097.5,4306,2020-09-30
1931,900228,565.5,12,2017-11-30
1932,35538,10814.21,183,2014-07-30
1933,39506,609.0,11,2015-12-07
1934,15820,4577.03,30,2012-10-11
1935,89824,89790.0,801,2020-09-30
1936,901904,1928.1,20,2018-01-15
1937,901034,1052.16,12,2017-11-30
1938,936097,12450.4,15,2020-04-13
1939,902553,436.8,2,2013-02-28
1940,901110,2570.4,8,2012-05-01
1941,37346,1103995.19,20019,2020-09-30
1942,64636,602829.9,6351,2020-09-30
1943,59154,864905.73,10878,2020-09-30
1944,82637,2434814.3,14304,2020-09-08
1945,42240,173742.48,2231,2020-09-30
1946,27126,77869.77,695,2020-07-21
1947,86731,5384.12,79,2015-10-27
1948,41927,219768.6,5163,2020-09-30
1949,34326,50578.38,591,2015-05-18
1950,77903,344869.66,1871,2020-09-30
1951,2666,75053.7,227,2015-07-15
1952,3348,59553.0,127,2012-11-16
1953,43428,12075.0,77,2012-10-24
1954,940131,3567.6,23,2020-09-10
1955,903563,4208.4,15,2020-07-09
1956,901184,655.14,15,2018-01-15
1957,902242,4152.48,21,2015-02-03
1958,901179,2054.04,18,2017-11-30
1959,901145,2704.8,28,2018-01-15
1960,904898,15342.06,57,2019-04-05
1961,903994,1830.0,3,2014-07-23
1962,901046,1193.34,12,2018-01-15
1963,27102,17605892.43,63960,2020-09-30
1964,73053,4502507.24,19093,2020-09-30
1965,4137,7519.68,75,2015-03-11
1966,34425,3024203.49,9345,2020-09-30
1967,34197,807149.4,7925,2020-09-29
1968,51506,203244.86,3253,2020-09-30
1969,77760,95130.0,1051,2016-12-26
1970,27406,81133.73,837,2015-11-16
1971,81124,589318.47,10064,2020-09-30
1972,63741,42446.1,92,2017-01-18
1973,902929,13253.4,40,2019-03-28
1974,903032,6687.36,19,2015-12-22
1975,37145,2050.68,102,2015-07-06
1976,58548,3334.5,94,2014-09-25
1977,904556,2408.64,13,2018-06-01
1978,44426,207088.8,1936,2020-01-03
1979,902000,3383.64,6,2017-03-15
1980,3301,14566.26,52,2012-11-28
1981,904570,9561.96,6,2018-08-27
1982,902585,2449.44,8,2018-12-03
1983,902751,958.8,10,2014-05-07
1984,902217,372.96,4,2017-06-30
1985,989203,504.72,2,2015-07-06
1986,901106,545.64,5,2017-07-27
1987,993395,1092.0,11,2015-02-12
1988,80589,12873.0,344,2019-01-25
1989,905195,3182.76,13,2020-09-14
1990,66636,2002094.91,13998,2020-09-30
1991,35318,8498412.0,65237,2020-09-30
1992,42244,148110.66,1796,2020-07-13
1993,42666,444529.41,6832,2020-09-30
1994,41019,215398.39,4689,2020-09-30
1995,64135,19380.27,517,2016-01-28
1996,43035,315089.39,3458,2020-09-29
1997,30058,643919.04,8311,2020-09-29
1998,36034,210665.93,2663,2020-09-24
1999,64017,8308.44,91,2013-10-11
2000,40636,5133.2,183,2012-08-20
2001,75226,201315.0,2617,2018-06-28
2002,56870,14503.5,180,2014-09-22
2003,901038,3959.64,35,2017-12-13
2004,82456,665.4,16,2012-04-11
2005,34819,142116.0,1039,2020-09-28
2006,4973,158.28,2,2015-10-14
2007,904777,15491.16,62,2019-10-10
2008,100041,26724.06,101,2017-12-29
2009,85551,1564.44,20,2013-03-21
2010,900225,2276.64,16,2018-02-09
2011,905278,1437.84,4,2014-04-30
2012,941334,1754.64,8,2019-08-27
2013,901194,215.28,2,2013-05-20
2014,900298,442.5,1,2014-10-02
2015,43125,2162636.02,17084,2020-09-30
2016,77472,428366.26,5888,2020-09-22
2017,37991,2233439.3,54499,2020-09-30
2018,72953,16452.0,325,2014-09-03
2019,21206,424931.25,3965,2020-09-30
2020,25876,94141.12,2584,2015-04-01
2021,904988,18403.35,78,2020-05-04
2022,82656,680.4,17,2013-08-19
2023,6206,179090.27,1531,2020-09-29
2024,903396,6638.17,27,2015-12-22
2025,904548,19254.79,73,2014-03-13
2026,15722,135.0,1,2012-08-09
2027,35497,2742.75,30,2015-11-05
2028,1408,46202.18,90,2012-10-03
2029,990508,16197.84,69,2015-08-06
2030,74752,7734.15,113,2014-09-30
2031,77642,594.24,12,2015-10-01
2032,904088,8528.64,16,2018-11-12
2033,903061,9370.26,34,2017-05-10
2034,80295,23458.09,335,2019-02-25
2035,940146,2162.52,18,2020-09-08
2036,77835,270.0,3,2012-12-11
2037,902146,9925.09,22,2017-08-30
2038,19477,7739978.9,19720,2020-09-30
2039,37993,1333187.82,22759,2020-09-30
2040,26821,2519972.35,59165,2020-09-30
2041,56843,288746.89,5769,2020-05-11
2042,62061,251179.89,4519,2020-09-30
2043,44516,442594.13,4486,2020-09-30
2044,27066,212047.5,1658,2020-09-30
2045,48108,1077906.41,4522,2020-09-30
2046,10840,31358.03,211,2016-09-28
2047,42299,24545.7,326,2014-09-30
2048,35975,10240.56,257,2013-02-28
2049,35279,20186.19,290,2014-12-30
2050,44420,6930.0,119,2019-02-01
2051,14480,7515.45,152,2017-01-10
2052,904605,3121.1,10,2015-02-19
2053,68526,8533.12,97,2019-12-28
2054,969701,312.0,2,2016-07-29
2055,32216,2131.2,21,2013-08-19
2056,38581,593520.16,1607,2020-09-30
2057,900766,4779.0,10,2017-07-03
2058,901492,1170.0,8,2015-04-13
2059,987879,1425.24,6,2015-12-03
2060,43024,1667126.94,30736,2020-09-30
2061,89666,4792.5,86,2016-06-23
2062,22155,544805.44,13957,2020-09-30
2063,73702,622231.96,10427,2020-09-30
2064,42079,319794.06,4694,2020-09-30
2065,88582,49785.44,323,2015-12-29
2066,41688,518497.62,6279,2020-09-30
2067,5318,441155.2,3991,2020-09-30
2068,34698,17504.56,289,2018-04-23
2069,41807,102029.09,1069,2014-10-29
2070,77714,328713.76,4199,2020-09-29
2071,40475,93197.24,1270,2016-03-30
2072,49176,75349.09,1031,2014-01-27
2073,933513,11062.5,27,2016-05-18
2074,80144,56911.45,568,2018-10-05
2075,902958,88.2,1,2013-06-04
2076,903592,6235.14,24,2020-07-27
2077,77902,24987.09,579,2020-09-30
2078,4374,118240.5,628,2020-09-30
2079,902989,2179.56,6,2020-06-11
2080,3910,3725.28,13,2015-01-21
2081,79511,1446.3,51,2014-06-18
2082,904617,1628.64,6,2020-08-03
2083,942244,3899.88,14,2013-10-10
2084,935632,4507.08,25,2019-01-14
2085,27829,23436.0,38,2018-12-12
2086,28233,3773526.21,16293,2020-09-30
2087,52806,548788.61,9858,2020-09-30
2088,30250,22010.6,389,2013-06-03
2089,77867,2908.62,121,2014-12-30
2090,413,18173.68,118,2012-11-29
2091,19082,166186.8,55,2015-08-25
2092,42204,142176.06,1938,2020-09-11
2093,37344,5580.72,225,2013-06-27
2094,10788,143919.44,5228,2020-09-30
2095,77317,28108.08,174,2015-10-26
2096,62378,3465.18,63,2013-10-29
2097,4656,11872.64,88,2015-06-29
2098,982784,995.76,9,2017-03-21
2099,67495,2883.31,25,2014-12-18
2100,942907,1343.16,5,2013-05-15
2101,10623,3559.86,99,2019-01-15
2102,902732,1862.64,16,2014-04-16
2103,905286,1328.16,6,2016-10-17
2104,19048,83932.49,1088,2020-09-30
2105,900752,2112.24,15,2017-11-30
2106,900975,221.76,6,2017-07-07
2107,902257,3712.5,3,2014-07-17
2108,918010,253478.16,59,2020-09-23
2109,3954,1256.22,9,2013-10-11
2110,11776,11066523.06,111440,2020-09-30
2111,25616,1005140.16,11034,2020-09-30
2112,86507,1418305.1,8676,2020-09-30
2113,72816,234842.58,6160,2020-09-30
2114,66107,92822.28,1337,2015-03-30
2115,23824,1690510.03,31304,2020-09-30
2116,64742,146262.6,1158,2013-05-09
2117,78010,17747.28,208,2014-03-26
2118,904974,1918.8,13,2014-07-09
2119,35179,212894.61,2931,2020-09-30
2120,58550,3888.75,57,2014-09-25
2121,40590,50233.34,1393,2020-09-28
2122,4959,197108.85,2176,2020-09-30
2123,46434,8735.78,188,2017-07-03
2124,43092,3144.0,77,2015-12-29
2125,3963,227362.5,266,2013-11-20
2126,903690,9852.06,47,2020-09-30
2127,903969,2394.0,27,2015-12-26
2128,902088,14098.12,22,2014-12-11
2129,64509,41327.34,680,2018-08-02
2130,937742,621.0,1,2015-06-09
2131,933858,118.08,1,2013-10-02
2132,903756,147.24,2,2012-04-17
2133,905634,4806.0,6,2016-02-10
2134,43519,82698.0,935,2020-09-29
2135,901711,393.06,1,2012-07-05
2136,902707,2806.92,5,2013-03-19
2137,900863,756.18,2,2013-07-22
2138,904544,85.32,1,2014-03-05
2139,904329,420.12,4,2020-03-11
2140,905473,522.24,1,2013-01-03
2141,77905,5781.55,246,2019-04-30
2142,27783,2146178.35,17556,2020-09-30
2143,36976,987466.71,17563,2020-09-30
2144,12668,620519.62,5864,2020-04-23
2145,58885,316778.7,3063,2016-08-16
2146,6076,193185.46,1669,2020-09-29
2147,4556,25842.63,393,2015-07-01
2148,58821,37042.92,605,2015-09-28
2149,51696,182852.94,2535,2020-09-30
2150,18350,591307.02,3811,2020-09-30
2151,89029,323135.92,1861,2020-09-08
2152,902446,21930.48,48,2019-02-04
2153,35873,37952.22,614,2014-05-21
2154,904791,2267.82,3,2013-07-03
2155,100015,180495.0,838,2020-09-30
2156,5439,11527.17,60,2015-12-29
2157,922230,2686.68,8,2014-01-06
2158,902664,7560.0,33,2015-01-26
2159,64883,6753.28,57,2013-11-18
2160,986938,5373.36,23,2014-11-17
2161,35221,531.45,16,2012-01-26
2162,4784,720.0,2,2013-02-07
2163,903881,23663.25,135,2020-09-29
2164,902190,32115.12,55,2015-09-02
2165,901220,892.04,13,2018-02-09
2166,35713,4428.28,29,2012-07-18
2167,905305,98.34,2,2012-09-13
2168,905105,3375.0,11,2012-10-11
2169,901087,486.63,5,2016-01-13
2170,967603,261.0,2,2015-10-20
2171,986722,720.36,2,2014-07-30
2172,45248,2702750.07,37148,2020-09-30
2173,89175,2202406.96,9457,2020-09-16
2174,44419,1134307.13,14777,2020-09-30
2175,40691,10685.28,214,2013-12-30
2176,27780,556861.65,16161,2020-09-30
2177,76044,210156.6,2830,2019-02-28
2178,5014,690552.9,4260,2020-09-30
2179,68048,16991.85,197,2013-12-30
2180,36014,764.58,46,2014-03-31
2181,335,1854.66,22,2015-10-22
2182,4063,9545.83,41,2014-12-30
2183,3138,41357.4,174,2013-08-21
2184,68867,1349.01,25,2016-01-19
2185,901065,2526.09,14,2017-11-08
2186,905059,876.36,9,2016-12-28
2187,901318,1881.0,2,2013-08-29
2188,901248,2605.44,23,2017-11-30
2189,14493,8044.64,210,2019-03-01
2190,900248,2865.54,14,2017-12-13
2191,923701,90.0,1,2016-08-10
2192,926950,1122.84,3,2013-02-12
2193,942120,737.64,4,2012-12-18
2194,37938,5050052.88,42679,2020-09-30
2195,79336,411412.18,11111,2020-09-30
2196,34189,493326.97,4595,2020-09-30
2197,86885,1044432.45,8771,2020-09-30
2198,41601,214857.46,7076,2017-07-26
2199,69661,5357.92,232,2015-12-30
2200,67575,87077.34,486,2016-03-14
2201,27439,244098.75,2081,2020-09-30
2202,33692,3885.23,40,2015-05-19
2203,89207,497400.45,1788,2020-09-28
2204,10819,22766.47,161,2015-03-25
2205,464,140506.81,495,2020-09-30
2206,77899,9136.44,102,2015-05-12
2207,73720,1990.68,103,2013-02-27
2208,4128,100647.24,89,2014-06-27
2209,902162,1290.72,16,2017-01-05
2210,903731,884.52,4,2018-02-06
2211,43055,6156.0,62,2015-01-29
2212,980517,9402.72,1,2015-06-03
2213,88037,13818.0,28,2013-06-10
2214,977877,514.8,5,2020-08-14
2215,900212,1419.6,2,2012-11-15
2216,903650,212.64,1,2013-08-28
2217,901637,3009.12,6,2019-02-06
2218,903056,55980.31,23,2018-04-02
2219,11298,15953071.15,40452,2020-09-30
2220,43128,10453917.24,48024,2020-09-30
2221,43197,341158.89,5479,2017-03-20
2222,64867,20999038.76,48576,2020-09-30
2223,82606,1078973.33,20276,2020-09-30
2224,11293,514413.79,7209,2014-09-10
2225,88766,435912.64,7681,2020-09-30
2226,55068,275124.99,3533,2020-09-30
2227,89626,964794.75,6484,2020-08-31
2228,43120,3138090.06,10980,2020-09-30
2229,69715,155315.56,2834,2020-09-30
2230,81126,45698.09,582,2019-05-31
2231,67574,27639.77,195,2016-01-20
2232,80484,15248.1,729,2015-12-30
2233,67406,19110.69,105,2013-03-07
2234,1051,28982.18,194,2015-12-30
2235,33800,4872.0,234,2013-12-30
2236,837,29229.35,97,2014-11-18
2237,18352,727748.54,4756,2020-09-30
2238,27098,26891.96,340,2018-07-31
2239,903707,14933.4,76,2020-09-18
2240,86748,12845.8,162,2020-09-29
2241,84710,3839.7,83,2012-12-18
2242,56838,16458.0,105,2013-12-28
2243,39849,623.72,27,2015-12-30
2244,994993,1503.36,1,2015-07-30
2245,27040,155641.5,1085,2020-09-28
2246,904762,11203.2,44,2016-02-10
2247,34089,9840.0,221,2018-08-06
2248,37896,3193.05,21,2012-10-02
2249,901221,3384.39,20,2018-02-09
2250,902670,705.12,2,2019-05-09
2251,901156,940.14,11,2017-11-30
2252,27100,345591.61,3391,2020-09-18
2253,17830,488827.32,5021,2020-09-29
2254,82610,900116.45,10899,2020-09-30
2255,23276,56537.36,1393,2016-01-04
2256,37889,302727.6,6587,2020-09-30
2257,85316,34457.2,1356,2016-01-28
2258,40997,108518.01,1665,2015-03-19
2259,903800,20106.36,64,2020-09-29
2260,77870,101689.32,1582,2018-08-07
2261,2870,294768.24,638,2014-12-24
2262,40292,3252.95,105,2014-01-02
2263,43086,27061.23,434,2019-01-29
2264,11206,23659.48,176,2018-07-09
2265,902161,3199.38,8,2014-12-09
2266,27442,5555.4,50,2014-05-21
2267,902749,3288.0,16,2014-01-29
2268,102,5382.0,34,2016-07-27
2269,56004,469.8,20,2014-12-27
2270,967275,5746.32,16,2019-11-29
2271,902846,2135.0,6,2020-06-22
2272,77476,1293.12,14,2013-08-28
2273,902970,1964.16,12,2016-11-21
2274,8376,81.96,1,2012-07-24
2275,964121,1431.54,4,2015-10-05
2276,900804,558.18,3,2012-06-28
2277,904678,1206.72,6,2014-04-21
2278,902859,1213.2,12,2019-11-21
2279,940287,161.28,1,2014-01-02
2280,34467,27917.25,462,2013-03-21
2281,16518,2128343.58,19317,2020-09-24
2282,58866,172052.7,4012,2020-08-10
2283,12464,178976.71,5658,2020-07-31
2284,42167,741247.77,5222,2020-09-30
2285,64712,442997.62,2338,2013-03-18
2286,4139,54252.0,309,2016-03-29
2287,40841,23673.13,516,2013-11-19
2288,77256,38452.29,596,2014-11-03
2289,4616,550271.05,2758,2020-09-30
2290,36315,39608.68,361,2018-06-25
2291,903026,8022.0,20,2016-04-21
2292,903639,9295.17,56,2019-12-13
2293,40442,36277.08,407,2015-03-31
2294,80427,4972.5,85,2014-06-23
2295,34547,18734.4,79,2014-03-24
2296,37097,31224.44,311,2018-05-17
2297,42433,3789.3,59,2013-03-28
2298,987869,348.48,8,2017-11-30
2299,919040,15746.2,55,2019-10-10
2300,42649,923.76,4,2013-06-13
2301,22227,4477.8,21,2015-11-19
2302,967152,954.0,2,2018-01-02
2303,77779,112204.5,647,2020-09-28
2304,942105,76.56,1,2014-05-07
2305,67161,15806.52,282,2019-08-30
2306,904304,270.0,1,2012-01-16
2307,901762,1302.0,1,2013-02-11
2308,900487,275.4,6,2017-11-30
2309,901026,2073.48,16,2017-11-08
2310,901274,461.36,11,2018-02-09
2311,41310,245.52,2,2013-05-23
2312,29996,261744.27,7018,2020-09-30
2313,44658,1697833.63,15452,2020-09-30
2314,35213,832868.05,8511,2020-09-30
2315,89617,338543.02,3657,2020-09-30
2316,35416,2207373.59,33095,2020-09-30
2317,43282,254774.29,4474,2018-04-23
2318,46937,6884.02,71,2016-01-20
2319,34162,894464.03,4080,2020-09-30
2320,43204,3874.5,48,2015-01-22
2321,27664,2676.0,34,2015-09-29
2322,28224,3069.03,72,2012-10-02
2323,975366,7012.26,37,2020-09-16
2324,15711,4142.25,56,2012-10-03
2325,44497,1715.66,24,2014-12-15
2326,969626,468.36,5,2014-11-25
2327,977813,3790.92,5,2016-02-24
2328,901642,1950.0,2,2013-01-31
2329,64481,713.46,13,2014-08-20
2330,989221,7479.0,29,2017-07-18
2331,956366,2097.0,9,2015-09-08
2332,71917,339.96,5,2013-08-27
2333,16517,370158.75,4792,2020-09-18
2334,43338,26608707.8,77508,2020-09-30
2335,74086,886776.88,8828,2020-09-30
2336,86807,196737.9,2827,2015-02-19
2337,53216,2070907.05,24677,2020-09-30
2338,27512,168790.77,1879,2015-02-25
2339,89212,66489.52,1018,2013-09-30
2340,40394,215619.76,4324,2017-11-14
2341,55504,46430.16,1632,2016-01-12
2342,77479,7797.44,376,2015-10-01
2343,76661,6675.0,82,2016-03-23
2344,88147,502575.84,2518,2020-09-28
2345,84143,344293.92,6864,2020-09-30
2346,87416,40754.11,524,2019-04-30
2347,77324,242326.5,1590,2020-09-30
2348,34136,1045.12,10,2012-01-24
2349,41079,3177.9,165,2012-10-29
2350,33556,13915.36,24,2015-01-26
2351,904630,2923.98,24,2014-04-30
2352,456,21337.61,104,2015-10-28
2353,72482,31765.5,301,2020-09-29
2354,41693,5492314.06,63716,2020-09-30
2355,43244,2533529.89,23552,2020-09-21
2356,62376,5728.91,93,2014-09-29
2357,13388,305159.04,4480,2020-09-30
2358,27625,26398.99,588,2014-01-23
2359,43848,491122.92,7338,2020-09-30
2360,44561,15159.25,261,2014-09-30
2361,89566,249701.61,3440,2020-09-30
2362,43206,28937.86,506,2013-11-25
2363,21602,196680.0,1030,2020-09-11
2364,44292,4428.75,99,2015-06-30
2365,4041,20162.25,56,2015-12-18
2366,86906,66464.25,994,2019-09-18
2367,4788,9634.47,53,2018-04-26
2368,4115,6947.22,34,2014-11-17
2369,936076,29628.12,37,2020-08-18
2370,403,18767.92,105,2016-05-23
2371,64507,554.63,15,2019-01-17
2372,902047,6413.34,31,2019-06-20
2373,33571,2185.5,48,2014-12-27
2374,904795,29061.84,73,2020-09-22
2375,43615,99858.32,1065,2020-09-29
2376,349,9634.62,76,2016-12-28
2377,65086,845.7,3,2012-12-10
2378,905050,65.56,1,2012-04-27
2379,73052,783781.53,15788,2020-09-30
2380,65195,1339371.78,19471,2020-09-30
2381,38006,4895929.18,29714,2020-09-30
2382,84456,372210.79,9835,2020-09-30
2383,67586,452832.62,8743,2020-09-30
2384,64795,15877.4,187,2014-03-27
2385,4356,1749016.93,7579,2020-09-30
2386,22214,74744.58,775,2020-09-30
2387,33658,702152.86,8148,2020-09-30
2388,64856,63570.0,1223,2014-08-28
2389,220,7249.08,34,2015-10-27
2390,82186,4002.43,153,2013-05-29
2391,34679,32089.79,414,2014-12-30
2392,27781,188402.63,2719,2020-09-30
2393,1989,9022.05,67,2013-12-16
2394,901284,4022.04,30,2018-01-15
2395,62384,10322.42,138,2013-02-05
2396,901175,994.56,10,2017-03-10
2397,903209,10296.0,27,2020-03-12
2398,940355,1372.92,11,2017-11-08
2399,902590,1109.88,4,2019-03-18
2400,77560,267.6,9,2012-02-09
2401,76664,2197.8,95,2016-09-28
2402,86805,7134.6,190,2012-11-07
2403,11771,1993332.66,52467,2020-09-30
2404,69946,1792090.49,18087,2020-09-30
2405,11774,6790541.83,90284,2020-09-30
2406,65896,260996.08,5545,2020-09-30
2407,37356,1022222.6,15167,2020-09-30
2408,36305,4722782.22,58946,2020-09-30
2409,22156,2713326.73,24270,2020-09-30
2410,35964,881824.7,10069,2020-09-30
2411,64864,8112560.0,62000,2020-09-30
2412,35435,282722.66,2825,2020-09-30
2413,33717,223719.66,5835,2020-09-30
2414,27582,79601.74,1063,2015-03-03
2415,65127,2939150.8,8085,2020-09-30
2416,33661,10490.28,332,2014-09-30
2417,40151,51429.84,2337,2019-07-31
2418,38580,15847.71,156,2020-08-11
2419,43306,70995.0,368,2014-07-10
2420,42983,117327.15,1556,2020-09-28
2421,43142,1968.0,53,2015-12-29
2422,89177,295606.17,1971,2020-09-30
2423,902917,6717.72,37,2020-08-26
2424,941940,8292.96,37,2020-06-22
2425,902536,55899.9,80,2020-08-19
2426,903900,5018.28,25,2013-03-07
2427,901683,1295.82,7,2014-06-03
2428,987266,2014.5,6,2014-12-15
2429,36297,1620.16,10,2015-09-16
2430,903207,21633.36,75,2018-10-04
2431,902134,1165.11,33,2020-07-13
2432,33466,136189.62,2918,2020-09-30
2433,987401,1656.6,6,2017-06-12
2434,987886,637.56,5,2017-09-26
2435,904765,234.0,2,2012-01-26
2436,41939,37.75,4,2012-08-09
2437,19224,19389.02,219,2019-08-01
2438,22988,954.0,4,2012-09-27
2439,58835,351244.3,7886,2020-07-28
2440,43418,453819.76,6626,2016-07-20
2441,40598,406554.0,8554,2020-09-30
2442,34870,241713.61,2961,2020-09-28
2443,77648,220580.96,1817,2020-09-30
2444,88186,1617278.93,7531,2020-09-30
2445,4357,176257.92,710,2020-09-30
2446,38056,754686.0,7496,2020-09-30
2447,42031,15606.64,322,2013-02-28
2448,19038,10769.58,80,2014-12-30
2449,41991,8706.0,128,2013-02-11
2450,905173,4949.34,20,2015-02-26
2451,63541,25916.65,259,2014-09-29
2452,4190,21327.57,152,2016-06-28
2453,3465,10777.5,83,2016-10-07
2454,1437,20106.0,174,2015-12-29
2455,77093,864.78,37,2015-09-23
2456,18216,8520.08,80,2015-09-21
2457,41902,300.08,8,2012-03-08
2458,76669,94408.4,1423,2020-09-30
2459,902375,15142.14,9,2016-06-08
2460,904867,498.0,2,2012-02-21
2461,904642,2188.68,11,2016-03-28
2462,75230,169725.0,2616,2020-09-14
2463,80060,20627.1,391,2018-07-12
2464,5430,807244.21,5181,2020-09-30
2465,34630,53795.64,1074,2014-09-30
2466,75214,2372220.0,17716,2018-05-16
2467,41901,1315.2,28,2012-11-07
2468,5596,456887.43,6782,2020-09-30
2469,87509,377058.78,5732,2020-09-30
2470,985551,3639.6,12,2015-06-09
2471,3655,99539.57,764,2017-06-06
2472,40299,10289.7,79,2015-10-27
2473,52216,101005.76,866,2020-09-30
2474,59102,49204.95,444,2015-03-18
2475,903502,8820.72,37,2020-08-03
2476,39920,54936.42,2039,2019-08-02
2477,901185,3498.24,31,2018-01-15
2478,903608,4945.26,8,2018-07-25
2479,900733,1441.89,8,2014-11-21
2480,903993,5211.0,16,2012-02-15
2481,901076,919.62,2,2012-11-15
2482,901204,505.5,6,2017-11-30
2483,59162,120434.82,1248,2020-08-10
2484,37664,48904.3,1280,2020-09-30
2485,902535,4970.16,9,2014-08-19
2486,10836,2236284.19,16725,2020-09-25
2487,43079,10599.93,98,2014-12-29
2488,65257,18308041.33,42077,2020-09-30
2489,19226,3188450.19,15996,2020-09-25
2490,23626,899819.01,14965,2020-09-30
2491,15776,825196.17,9292,2020-09-30
2492,81196,828639.71,14642,2020-09-30
2493,27478,57402.62,687,2017-05-09
2494,13037,274271.61,4969,2020-09-30
2495,29900,14729.5,144,2015-09-30
2496,34880,8916.83,76,2016-03-30
2497,933837,118.08,1,2013-10-02
2498,82511,1560.2,32,2015-05-19
2499,901361,464.58,6,2014-10-02
2500,977476,3285.0,20,2020-05-14
2501,66169,13583.96,165,2018-06-20
2502,66187,1417.0,6,2013-02-05
2503,900253,530.7,10,2017-11-17
2504,965679,592.8,3,2014-09-15
2505,26826,24573369.12,84044,2020-09-30
2506,42703,1200900.8,16034,2020-08-26
2507,65199,1049579.98,10086,2020-09-30
2508,88768,511748.88,4689,2020-09-30
2509,83348,20980.85,665,2015-07-09
2510,76526,102405.72,2351,2016-12-07
2511,86919,3150.0,47,2015-03-26
2512,77414,13256.52,129,2012-06-12
2513,67540,165051.16,1946,2018-03-29
2514,19006,200130.64,1391,2020-09-30
2515,53920,15111.88,360,2020-09-23
2516,29970,1644.57,6,2012-08-08
2517,34183,3917.61,25,2015-06-30
2518,88017,624.39,25,2014-09-24
2519,902247,5455.53,41,2020-09-25
2520,35410,1931.16,26,2015-12-30
2521,901831,658.8,3,2014-11-17
2522,901133,709.56,9,2017-07-07
2523,902085,2937.6,20,2020-04-08
2524,904493,149.2,2,2013-10-22
2525,64914,491264.31,3272,2020-09-30
2526,34007,16975122.66,45039,2020-09-30
2527,12478,2597257.53,21601,2020-09-30
2528,82786,1035104.47,19098,2020-09-30
2529,76486,1143026.77,29579,2020-09-30
2530,80487,222585.0,3579,2020-09-30
2531,31474,268962.46,6296,2020-09-29
2532,64816,476320.08,4796,2020-09-30
2533,43280,33487.5,275,2015-06-26
2534,65185,22952.88,423,2015-04-01
2535,903705,9554.76,29,2014-07-24
2536,15646,128401.23,761,2019-01-09
2537,43290,10401.7,378,2016-03-31
2538,64888,41621.44,452,2015-04-01
2539,41167,7731.66,109,2017-06-01
2540,27605,834483.5,6063,2020-09-30
2541,58874,765666.6,5665,2020-09-25
2542,3495,4517.1,39,2015-02-02
2543,44297,2164.05,60,2014-07-16
2544,3880,2675.25,29,2013-12-30
2545,3899,1333.92,22,2014-05-19
2546,992945,1171.98,9,2015-02-12
2547,901333,414.84,2,2013-07-22
2548,934958,4840.56,15,2018-04-16
2549,903381,2112.0,7,2014-04-08
2550,75211,3646200.0,24575,2018-04-18
2551,89242,820044.12,8151,2020-09-30
2552,67528,1001126.42,5492,2020-09-30
2553,904866,12929.25,40,2015-10-29
2554,45887,1269408.99,10267,2020-09-30
2555,52835,459559.94,5578,2020-09-28
2556,42316,7934.85,386,2013-04-18
2557,34421,466320.0,9792,2019-11-18
2558,41161,77872.5,1336,2020-08-03
2559,73482,16688.7,503,2013-06-03
2560,6196,46980.0,344,2016-03-31
2561,68028,119944.38,1088,2013-12-26
2562,902120,17169.6,52,2015-05-14
2563,903771,44392.52,289,2020-09-29
2564,942950,15556.5,78,2020-09-28
2565,905690,35575.36,182,2020-03-13
2566,905206,469.8,3,2013-10-24
2567,64510,409605.0,3664,2020-09-29
2568,902323,24411.6,51,2019-07-04
2569,68046,3445.26,51,2013-04-11
2570,903043,15985.44,81,2019-03-13
2571,901148,490.83,1,2012-04-27
2572,902203,9328.92,149,2019-12-13
2573,901917,10341.11,20,2020-04-10
2574,903621,1799.28,5,2020-03-19
2575,901143,1864.65,22,2018-01-15
2576,77824,9747.0,344,2019-02-22
2577,915669,674.97,3,2014-04-01
2578,57026,331.5,6,2014-04-14
2579,902388,2945.28,11,2018-12-05
2580,901057,1458.9,14,2018-02-09
2581,88767,1390489.75,10532,2020-09-30
2582,43156,824577.84,8186,2016-07-15
2583,86670,6628009.24,35740,2020-09-30
2584,40946,209398.15,3553,2014-07-31
2585,44456,377738.28,6070,2020-09-08
2586,35418,2203397.47,24630,2020-09-30
2587,66293,558426.01,5632,2020-09-28
2588,42063,9043.9,187,2013-03-28
2589,36384,38739.42,655,2018-08-30
2590,83357,92495.41,1055,2020-09-29
2591,52816,3518.25,74,2015-09-30
2592,901090,402.24,6,2016-08-26
2593,33554,51185.56,117,2015-01-26
2594,901296,694.32,11,2017-11-30
2595,927666,19744.8,166,2018-12-27
2596,904579,22527.12,62,2019-08-09
2597,942898,450.0,3,2014-06-09
2598,984161,9338.4,82,2020-09-30
2599,3273,3145.5,34,2018-01-17
2600,3438,1398.0,16,2012-04-26
2601,987873,1141.2,9,2018-02-09
2602,65220,1489.44,9,2013-06-27
2603,901102,374.22,4,2012-11-15
2604,15866,114997.5,1074,2020-06-03
2605,41333,97.44,1,2012-07-02
2606,951028,1132.68,5,2019-06-27
