,Item Number,Monetary,Frequency,Recent_Date
165,647,172677.81,880,2020-02-05
166,40256,29168.38,455,2015-06-30
167,470,373143.15,1697,2020-09-30
168,965266,11891.4,31,2020-07-23
169,63894,33285.57,1045,2013-03-28
170,76039,5321.68,133,2014-12-31
171,3891,12685.5,91,2015-12-14
172,3656,84739.3,588,2017-06-15
173,904815,12200.85,116,2020-09-22
174,902604,5577.84,21,2019-07-10
175,900562,1822.41,7,2015-01-21
176,904183,1623.9,5,2013-10-14
177,33280,1673.1,92,2013-02-28
178,82601,94.08,12,2013-01-08
179,901569,482.88,2,2013-09-05
180,903182,463.08,4,2012-04-12
181,943208,126.0,1,2015-10-12
182,901363,1515.24,6,2014-08-20
183,1956,2448.0,12,2013-12-16
184,900864,623.04,3,2013-09-04
185,903220,665.28,5,2015-02-23
186,901170,560.94,8,2017-11-30
187,900219,12039.0,23,2018-10-31
188,903893,110.7,1,2012-10-15
189,904561,303.0,2,2012-08-16
190,82780,190763.33,3679,2020-09-30
191,27697,258345.0,3853,2020-09-30
192,67006,1155583.08,12991,2020-09-30
193,68037,6974689.51,22198,2020-09-30
194,52579,152547.57,7022,2020-09-30
195,40052,110881.98,3653,2019-05-19
196,86764,143388.0,1306,2019-02-26
197,977558,2541.0,19,2015-12-18
198,59153,8800.32,123,2012-08-06
199,13636,45697.2,829,2014-10-20
200,89624,56719.28,535,2020-09-01
201,63356,8085.88,129,2014-03-20
202,48122,495566.96,1126,2020-09-30
203,903293,13243.55,91,2020-09-29
204,3953,14044.2,86,2013-12-27
205,904476,15574.92,76,2020-04-29
206,929120,1310.04,6,2015-03-09
207,967341,3777.48,26,2019-05-09
208,28132,68400.0,411,2020-09-30
209,41219,97.44,1,2012-05-15
210,989568,177.72,1,2014-10-20
211,907088,9103.98,9,2016-10-26
212,49083,313418.6,2446,2020-09-25
213,905531,347.07,3,2015-02-11
214,39868,225689.42,2487,2020-09-30
215,10628,5123011.51,31370,2020-09-30
216,36908,6767654.48,77469,2020-09-30
217,12408,9574096.57,68586,2020-09-30
218,75087,4342373.02,8979,2020-09-30
219,32235,375634.46,5288,2020-09-09
220,11588,2055054.17,14254,2020-09-30
221,73986,833547.3,15615,2020-09-30
222,1377,217687.5,306,2012-11-12
223,72950,26232.0,544,2014-04-03
224,34092,135056.77,1024,2020-09-24
225,27260,12397.5,136,2014-12-22
226,953603,957.6,10,2015-02-16
227,903155,24924.0,30,2018-10-31
228,903936,4917.48,39,2015-04-23
229,86694,278582.8,922,2020-09-29
230,33528,51460.0,359,2018-06-14
231,904574,10822.92,44,2020-08-21
232,85066,22937.85,818,2020-09-29
233,901060,754.92,11,2017-11-30
234,483,66726.97,446,2020-04-01
235,903526,1104.96,4,2017-09-25
236,901190,1245.6,19,2017-11-30
237,902788,1219.2,14,2020-04-20
238,901091,311.76,4,2013-10-24
239,900384,232.26,5,2016-11-30
240,88947,5605.5,64,2020-01-29
241,902104,492.0,5,2015-08-26
242,935136,1543.2,10,2019-08-29
243,900635,399.84,4,2012-11-15
244,36306,6707062.66,95882,2020-09-30
245,43209,196043.54,3649,2016-04-12
246,82636,379017.91,8596,2020-08-19
247,37937,478029.63,7743,2020-09-30
248,75210,4281645.0,26610,2020-09-30
249,36667,347769.21,3802,2020-09-30
250,28206,517353.46,7444,2020-09-30
251,989157,674.1,3,2014-03-11
252,77632,427592.82,6108,2020-09-30
253,34785,5496.94,80,2016-03-30
254,63812,63743.28,1165,2020-07-31
255,40260,15495.06,270,2015-03-31
256,3711,16847.29,34,2012-12-27
257,33703,1302.84,74,2014-03-31
258,40203,10367.12,105,2015-06-24
259,34318,9529.26,115,2013-12-18
260,27814,26145.0,456,2018-07-31
261,36065,13837.5,84,2016-05-25
262,933692,308.76,2,2015-10-15
263,27832,173234.84,634,2020-09-25
264,900421,1564.92,5,2017-05-22
265,901598,332.64,8,2017-08-21
266,904869,1810.8,14,2019-10-17
267,940019,76.56,1,2015-05-06
268,86487,713.6,23,2020-09-09
269,975881,674.52,5,2017-03-09
270,10803,1393695.65,35254,2020-09-23
271,27562,145446.2,2587,2014-12-19
272,89836,1250829.47,10743,2020-09-30
273,40229,73684.0,1589,2018-08-06
274,38002,22442.77,295,2015-03-31
275,35887,45651.0,628,2015-12-30
276,86802,69527.1,1030,2018-08-06
277,902393,5678.4,24,2013-12-02
278,34849,11362.0,143,2013-12-02
279,428,39466.0,287,2020-09-30
280,80034,54235.5,488,2018-08-03
281,66178,34620.75,278,2016-10-14
282,903633,5672.04,26,2017-02-07
283,901064,699.3,7,2018-01-15
284,940597,1762.56,9,2013-11-21
285,917946,38700.0,807,2020-08-10
286,903184,6666.0,26,2020-03-25
287,921600,17784.0,230,2019-10-04
288,980507,10392.48,1,2015-05-21
289,72356,262374.38,1725,2020-09-30
290,904755,4289.51,17,2015-08-05
291,900210,734.5,3,2013-04-11
292,904237,6340.44,37,2019-04-11
293,903380,5277.24,12,2016-08-08
294,904549,2741.76,5,2013-10-03
295,22788,1930277.01,23422,2020-09-30
296,23823,621060.59,13502,2020-09-30
297,57161,100103.99,2040,2020-09-30
298,41786,108851.41,2105,2014-08-29
299,40917,82210.81,1494,2014-12-04
300,1958,2621.31,20,2013-12-16
301,4864,15083.32,408,2015-04-01
302,22158,465121.77,2907,2020-09-30
303,12862,27697.5,469,2020-09-29
304,904900,13713.66,57,2020-09-22
305,918326,12965.03,133,2017-05-26
306,927625,882.0,6,2016-11-22
307,27351,812.52,26,2016-03-09
308,89174,4565.76,70,2016-10-24
309,902342,4893.36,25,2020-08-14
310,936173,116.64,1,2014-04-09
311,2354,255.12,1,2012-12-17
312,905284,355.68,1,2014-05-28
313,21376,1356.0,14,2012-08-02
314,964871,330.0,1,2012-05-02
315,901336,398.28,3,2013-10-24
316,901029,569.7,11,2017-11-30
317,27544,2863281.5,26210,2020-09-30
318,81966,169714.61,5420,2020-09-30
319,82627,705822.95,7208,2020-09-22
320,73516,38325.15,1018,2014-03-31
321,40965,250796.55,3402,2015-02-03
322,40678,14992.56,298,2013-03-28
323,72455,10920.0,152,2016-03-30
324,433,35961.84,155,2012-12-31
325,35921,31230.98,531,2013-12-30
326,40658,10271.23,228,2014-01-20
327,59160,6516.16,146,2013-02-20
328,988063,730805.76,122,2020-09-30
329,27505,5968.92,22,2019-03-25
330,986677,2600.1,10,2018-08-09
331,84211,86541.3,1356,2020-09-30
332,987872,2286.36,17,2018-02-09
333,35913,1214673.03,23580,2020-09-30
334,67595,404672.12,5136,2020-09-30
335,82844,102950.46,6386,2020-01-31
336,43328,1073260.2,10891,2020-09-30
337,12479,268658.46,2164,2016-05-17
338,42009,302971.97,3814,2020-09-29
339,34579,823842.78,7809,2020-09-30
340,40621,63124.04,3044,2016-12-08
341,76665,35346.36,624,2018-08-02
342,89443,268543.5,1613,2020-09-30
343,34051,294406.86,2683,2020-09-30
344,75740,12297.95,129,2018-03-21
345,52656,111022.47,615,2020-09-08
346,361,114349.76,357,2015-12-30
347,77558,1431.66,33,2012-07-06
348,26996,109412.94,774,2019-11-16
349,904009,18864.6,65,2020-09-17
350,86645,5347.5,70,2015-12-30
351,89644,52228.09,474,2020-09-03
352,904813,4203.36,12,2015-06-01
353,902273,531.36,3,2013-09-30
354,901014,475.2,3,2012-11-15
355,903542,5337.0,11,2016-02-01
356,986731,240.12,1,2014-03-31
357,934858,246.24,1,2016-08-15
358,967599,1696.5,7,2016-09-20
359,82826,256510.64,5827,2020-09-30
360,55066,489958.32,8962,2020-09-29
361,28088,1011918.12,5173,2020-09-30
362,75212,387130.64,19841,2020-09-30
363,52318,1397775.88,15300,2020-09-30
364,40603,8296.86,382,2013-04-30
365,34995,1459094.54,8833,2020-09-30
366,43134,153370.69,5231,2020-09-30
367,34032,655598.19,3859,2020-09-30
368,36235,5022.0,47,2016-06-21
369,27754,9397.5,151,2015-12-23
370,788,16665.85,98,2014-11-05
371,910874,13159.8,69,2016-12-15
372,58822,2065.66,65,2014-06-16
373,904089,3314.64,18,2019-03-04
374,100360,9982.5,130,2017-11-29
375,902833,7350.42,20,2020-04-02
376,86834,35901.75,535,2019-02-11
377,904888,4598.1,25,2020-09-15
378,965559,3251.04,9,2018-02-15
379,77744,2058.9,109,2017-01-31
380,987646,1160.64,3,2016-02-10
381,87396,467.52,2,2012-02-06
382,935111,1564.98,8,2019-03-12
383,902213,18888.48,25,2019-12-05
384,34871,1624586.7,5648,2020-09-30
385,27410,1714776.56,14772,2020-09-30
386,82866,574360.15,12939,2020-09-30
387,23278,657579.93,8259,2020-09-30
388,4626,2462112.78,10789,2020-09-30
389,66835,3270.4,57,2014-03-25
390,42665,4207.5,175,2014-04-16
391,68049,437665.15,3107,2020-09-30
392,5809,8921.92,122,2016-03-29
393,33782,3305.76,131,2013-12-28
394,48103,309180.78,1723,2012-07-19
395,44306,115649.13,1970,2019-07-31
396,37204,103477.5,1481,2019-07-31
397,40446,6063.4,158,2013-12-27
398,863,7719.66,37,2014-12-27
399,424,60059.64,222,2013-12-31
400,904565,5702.04,16,2018-09-04
401,927080,2646.0,8,2018-08-03
402,77412,13039.2,123,2012-05-25
403,4059,3216.25,12,2015-01-14
404,904594,614.16,4,2013-04-22
405,77730,72126.96,1691,2020-09-29
406,51197,1271.7,15,2015-12-10
407,976040,2074.68,8,2012-06-07
408,36873,574780.05,5618,2020-09-30
409,10855,32181.47,575,2018-08-06
410,40911,133.44,1,2012-02-01
411,48102,1123378.19,7085,2020-09-30
412,8828,3045562.21,26887,2020-09-30
413,27474,735842.27,10834,2020-09-30
414,82146,122180.3,4498,2020-09-30
415,41279,225324.05,4552,2020-09-29
416,35628,407530.12,3249,2020-09-30
417,434,218478.44,1477,2019-12-09
418,86693,1989946.77,5290,2020-09-30
419,4376,90497.97,618,2014-06-03
420,33680,1191.9,56,2014-09-18
421,27371,22899.28,222,2016-06-29
422,33700,1827.36,103,2014-03-31
423,903176,9877.32,26,2020-09-15
424,686,3240.0,40,2015-01-29
425,902725,914.28,5,2013-12-26
426,901063,1242.24,10,2017-11-17
427,901768,616.56,4,2016-06-15
428,919017,30595.2,54,2018-07-11
429,902538,10194.66,55,2020-05-04
430,900504,728.28,8,2016-12-28
431,989875,900.0,2,2015-04-06
432,36344,1232.44,22,2016-03-17
433,64525,735.0,2,2013-03-28
434,903872,2646.24,13,2017-03-29
435,903423,252.0,4,2014-03-11
436,12407,1263598.03,15160,2020-09-30
437,81204,462473.39,17585,2020-09-30
438,54448,475205.24,6006,2020-09-30
439,44258,450871.03,6192,2020-09-30
440,86190,8061.9,220,2012-08-09
441,43318,297501.75,2593,2020-09-30
442,56958,138113.72,2588,2020-09-14
443,40071,585059.4,6117,2020-09-30
444,38089,114032.66,1811,2020-09-30
445,27386,97740.0,562,2017-03-02
446,42485,16986.52,387,2013-04-30
447,65646,7000.38,81,2014-05-08
448,36252,3097.5,86,2015-09-24
449,3496,6500.26,47,2012-11-29
450,40073,72118.32,571,2020-07-24
451,33944,2376.0,68,2013-03-12
452,27913,81936.6,2780,2020-09-30
453,904802,5550.6,16,2016-04-27
454,36002,11831.88,124,2015-12-30
455,937526,807.6,5,2014-02-10
456,901114,3705.3,35,2018-01-15
457,901840,1206.72,9,2016-06-29
458,902516,3725.64,16,2018-03-07
459,308,96914.0,732,2020-07-28
460,902567,912.24,6,2017-03-13
461,900508,193.8,5,2017-11-08
462,36901,570860.53,21431,2020-09-30
463,63755,119862.24,1919,2013-02-21
464,55087,1335707.46,14653,2020-09-30
465,5345,473176.72,8536,2020-09-30
466,1931,48688.72,449,2015-01-08
467,3337,24253.23,201,2015-11-18
468,10809,2907666.11,9083,2020-09-23
469,10890,444663.85,5497,2020-09-30
470,901719,5074.44,7,2015-10-05
471,27585,160821.24,1617,2019-01-23
472,904940,15042.49,63,2020-07-03
473,989835,294.69,7,2017-11-30
474,903625,8483.4,26,2014-02-17
475,902500,33491.36,244,2020-02-11
476,64512,1036548.38,6873,2020-09-30
477,66153,3945.12,75,2014-05-28
478,40370,8597.16,140,2014-12-27
479,40608,3114.14,70,2013-12-28
480,948696,24683.88,56,2017-10-16
481,902401,8918.34,14,2020-08-24
482,68042,229851.75,1207,2020-01-23
483,27324,12113.38,99,2015-10-28
484,912900,50895.0,90,2020-08-13
485,27673,12596.88,17,2014-11-21
486,904235,1337.04,7,2017-10-23
487,903892,44950.86,135,2020-09-30
488,3952,1462.8,30,2013-07-30
489,54136,1295.74,16,2013-07-04
490,41516,4185.0,33,2016-01-06
491,902968,859.68,7,2015-05-13
492,921242,16398.0,286,2019-11-27
493,902160,2634.0,24,2020-03-03
494,17088,805492.34,973,2020-09-30
495,902746,917.82,8,2020-02-24
496,39704,27956.55,1420,2020-09-29
497,986676,576.96,2,2014-08-28
498,903450,1248.0,4,2019-07-29
